lat, lon, alt, ozone, mq7, mq135_ppm, mq135_cor, bmp180_temp, bmp180_press, exectime
50.278948, 19.719647, 459.080000, 0.020000, 1331, 5693.824707, 5956.546875, 16.520135, 964.692183, 97.517817
50.278947, 19.719647, 459.070000, 0.020000, 1330, 5762.203125, 5885.860840, 16.526830, 964.711174, 98.513488
50.278947, 19.719647, 459.040000, 0.020000, 1330, 5762.203125, 5885.860840, 16.540219, 964.719969, 99.496274
50.278947, 19.719647, 459.050000, 0.020000, 1330, 5693.824707, 5885.860840, 16.540219, 964.709025, 100.506819
50.278947, 19.719647, 459.040000, 0.020000, 1330, 5693.824707, 5956.546875, 16.546913, 964.706124, 101.496905
50.278947, 19.719647, 459.000000, 0.020000, 1330, 5693.824707, 5815.926270, 16.479958, 964.483378, 102.494126
50.278947, 19.719647, 458.960000, 0.020000, 1325, 5626.169434, 5956.546875, 16.553607, 964.706870, 103.511051
50.278947, 19.719647, 458.930000, 0.020000, 1330, 5626.169434, 5815.926270, 16.553607, 964.674037, 104.507308
50.278947, 19.719647, 458.930000, 0.020000, 1330, 5559.231445, 5815.926270, 16.566993, 964.755785, 105.488503
50.278948, 19.719647, 458.880000, 0.020000, 1325, 5693.824707, 5815.926270, 16.573685, 964.716396, 106.512438
50.278947, 19.719647, 458.850000, 0.020000, 1325, 5626.169434, 5885.860840, 16.573685, 964.745582, 107.521747
50.278947, 19.719647, 458.800000, 0.020000, 1324, 5559.231445, 5746.730469, 16.573685, 964.730989, 108.501532
50.278947, 19.719647, 458.790000, 0.020000, 1325, 5559.231445, 5746.730469, 16.587069, 964.747062, 109.509729
50.278947, 19.719647, 458.750000, 0.020000, 1324, 5559.231445, 5746.730469, 16.587069, 964.717874, 110.507743
50.278947, 19.719647, 458.700000, 0.020000, 1325, 5626.169434, 5815.926270, 16.587069, 964.758007, 111.507216
50.278947, 19.719647, 458.660000, 0.020000, 1325, 5559.231445, 5815.926270, 16.560300, 964.656539, 112.521296
50.278947, 19.719647, 458.630000, 0.020000, 1324, 5626.169434, 5815.926270, 16.607143, 964.745622, 113.509660
50.278947, 19.719647, 458.640000, 0.020000, 1324, 5626.169434, 5815.926270, 16.607143, 964.734676, 114.510505
50.278947, 19.719647, 458.630000, 0.020000, 1325, 5626.169434, 5746.730469, 16.613833, 964.742706, 115.511989
50.278947, 19.719647, 458.630000, 0.020000, 1324, 5427.469727, 5678.265137, 16.600452, 964.719347, 116.515315
50.278947, 19.719647, 458.600000, 0.020000, 1324, 5626.169434, 5678.265137, 16.613833, 964.742706, 117.491011
50.278947, 19.719647, 458.560000, 0.020000, 1324, 5559.231445, 5746.730469, 16.627213, 964.747817, 118.523810
50.278947, 19.719647, 458.560000, 0.020000, 1323, 5427.469727, 5746.730469, 16.627213, 964.733221, 119.509670
50.278947, 19.719647, 458.570000, 0.020000, 1323, 5493.000000, 5746.730469, 16.620523, 964.659517, 120.492496
50.278947, 19.719648, 458.550000, 0.020000, 1323, 5493.000000, 5678.265137, 16.627213, 964.693085, 121.523452
50.278947, 19.719648, 458.530000, 0.020000, 1323, 5493.000000, 5678.265137, 16.640591, 964.723730, 122.509834
50.278947, 19.719648, 458.500000, 0.020000, 1324, 5427.469727, 5610.524414, 16.640591, 964.720081, 123.500905
50.278947, 19.719648, 458.460000, 0.020000, 1323, 5493.000000, 5678.265137, 16.613833, 964.673381, 124.523405
50.278947, 19.719648, 458.430000, 0.020000, 1323, 5427.469727, 5543.502930, 16.653968, 964.758021, 125.503852
50.278946, 19.719648, 458.390000, 0.020000, 1322, 5427.469727, 5610.524414, 16.653968, 964.714233, 126.506818
50.278946, 19.719648, 458.350000, 0.020000, 1322, 5427.469727, 5678.265137, 16.660656, 964.744148, 127.510530
50.278946, 19.719648, 458.350000, 0.020000, 1322, 5427.469727, 5610.524414, 16.667344, 964.748518, 128.503861
50.278946, 19.719648, 458.350000, 0.020000, 1322, 5362.633789, 5610.524414, 16.667344, 964.712027, 129.506729
50.278946, 19.719648, 458.330000, 0.020000, 1322, 5362.633789, 5543.502930, 16.627213, 964.605514, 130.511597
50.278946, 19.719648, 458.290000, 0.020000, 1322, 5298.485352, 5543.502930, 16.620523, 964.564650, 131.503792
50.278946, 19.719648, 458.290000, 0.020000, 1322, 5362.633789, 5543.502930, 16.680718, 964.746307, 132.494994
50.278946, 19.719648, 458.290000, 0.020000, 1322, 5362.633789, 5543.502930, 16.687405, 964.710531, 133.508758
50.278946, 19.719648, 458.280000, 0.020000, 1322, 5362.633789, 5543.502930, 16.694091, 964.689350, 134.506625
50.278946, 19.719648, 458.250000, 0.020000, 1321, 5362.633789, 5610.524414, 16.694091, 964.700298, 135.487742
50.278946, 19.719648, 458.230000, 0.020000, 1322, 5362.633789, 5543.502930, 16.707463, 964.738218, 136.511218
50.278946, 19.719648, 458.220000, 0.020000, 1322, 5298.485352, 5543.502930, 16.727517, 964.816988, 137.511398
50.278946, 19.719648, 458.180000, 0.020000, 1321, 5362.633789, 5543.502930, 16.707463, 964.719971, 138.506186
50.278946, 19.719648, 458.130000, 0.020000, 1321, 5362.633789, 5543.502930, 16.720833, 964.757886, 139.509798
50.278946, 19.719648, 458.110000, 0.020000, 1321, 5362.633789, 5477.189453, 16.714148, 964.727980, 140.527093
